item_id,stem,item_version,blank_label,item_prompt
M1,1,gct_m_cloze_v3_morph_placeholder,XXXX,Today the woods are protected by people living on this island. In the woods you can see wild flowers and birds. All the typical flowers in this area can be found. The fact that birds XXXX means that the woods are a good place to discover various kinds of birds.
M2,2,gct_m_cloze_v3_morph_placeholder,XXXX,"I think you feel happier when you try to look good. It is natural to feel better if you feel you look good; even in nature, cats XXXX themselves too. I do not mean we should all be the same, but for example, if you have a house, you like to keep it nice and tidy. It is natural."
M3,3,gct_m_cloze_v3_morph_placeholder,XXXX,"Cranston’s mouth was full of food. “You are not eating, are you?” Athelstan ate only a little bit of the food on the XXXX in front of him. “I don’t feel hungry. I am wondering what we do next.” Cranston, with his mouth full of food, looked up and said, “There’s nothing much to do.”"
M4,4,gct_m_cloze_v3_morph_placeholder,XXXX,"“How long do you think she’s been dead?” “Six or seven hours, I would say, but I’ll not be able to be more accurate until the XXXX; for example, I need to know what she ate before she died. She might have eaten something that causes damage to people. ”"
M5,5,gct_m_cloze_v3_morph_placeholder,XXXX,"Thompson said, “Will that be enough, or do you require a complete XXXX?” Mrs. Barbara Porter said, “No, we don’t need all the details. It could take hours. From just about anywhere she can access the systems on other works. There was no knowing how much might be useful to us as background.”"
M6,6,gct_m_cloze_v3_morph_placeholder,XXXX,"For that party I bought a black one-piece dress. I put it on and said to my mother, “How do you like my new dress?” I did a XXXX so that she could see it from various points of view. “You look good in that dress. I like it,” she said."
M7,7,gct_m_cloze_v3_morph_placeholder,XXXX,"There is very XXXX evidence that this could happen. That is to say, there are only two studies that tried to make it clear. Some people are now trying to collect the necessary data to look at the effect of these new materials on human health in a scientific way."
M8,8,gct_m_cloze_v3_morph_placeholder,XXXXed,"Before he washed each plate, he ate every last bit of chicken. Washing up was one of his jobs on party nights. He watched her now as she XXXXed the chicken over the fire. She looked perfectly healthy, and did not look as if she might be suffering from some serious disease."
M9,9,gct_m_cloze_v3_morph_placeholder,XXXX,“I am aware that he is important to you. So ...” Li Yuan raised his hand. “I understand. Can I see the boy?” “Of course. But you must understand his condition. Sometimes he falls into a kind of XXXX where he won’t speak or even realize that anyone is there.” “Is he like that now?” “I am afraid so.”
M10,10,gct_m_cloze_v3_morph_placeholder,XXXXable,"It is likely that the published works themselves are XXXXable: they might now look different. If the writers received a prize, their works might be highly respected and have an increased value. If you read a book ten years after you read it for the first time, you might feel differently about the book."
M11,11,gct_m_cloze_v3_morph_placeholder,XXXXly,"He cut bread up into thick pieces and put one of them on to her plate. “I’m sorry, but I am terribly hungry,” she said, and ate it XXXXly. He looked at her in surprise, and asked, “When did you last eat?” “Last night.” “And why didn’t you eat breakfast and lunch? Food at Bishopstow House was always good.”"
M12,12,gct_m_cloze_v3_morph_placeholder,XXXXed,I visited the town just because it sounded nice and quiet and I had never seen it before. The town was a disappointment. It was hot and dry and everything was covered with grey dust. The famous trees XXXXed because of the terrible heat. Even the river was drying up.
M13,13,gct_m_cloze_v3_morph_placeholder,XXXXant,"It had been raining for days. Although it was still early morning, I felt tired. No wind had blown for days and the air was XXXXant. I think I felt tired because I had taken in this unpleasant air for a long time. Another reason would be because it was very hot this morning."
M14,14,gct_m_cloze_v3_morph_placeholder,XXXX,"Mark arrived at the station on the last train from London. It was 11:20 p.m. Most of the lights were already off, and all the doors of the station were locked. There was one small XXXX through which the people in the station went into the street. Buses, of course, had stopped running hours ago."
M15,15,gct_m_cloze_v3_morph_placeholder,XXXX,"“Simon told me that he loved Anna, and she gave him hope. She didn’t accept his proposal and Simon was angry. As a matter of fact, she said sorry to him. That didn’t XXXX him. But she loves him?” “She did, but she says it’s not wise to go against one’s nature.”"
M16,16,gct_m_cloze_v3_morph_placeholder,XXXX,"He put his arm around her shoulders, holding her against him. She smelled something awful from his body, and a XXXX ran through her. “Are you cold?” he asked, answering his own question at once. “No, you can’t be. Can I hope that means you love me?” She only looked at the ground."
M17,17,gct_m_cloze_v3_morph_placeholder,XXXXed,"He was locked up for having injured her. On May 23rd, he ran away for 17 days. He was found and caught when he was in a car taken from another person. He was brought back to the building on June 9th, but the following day he XXXXed again and this time was away for 94 days."
M18,18,gct_m_cloze_v3_morph_placeholder,XXXXly,"When we try to look at the process of reading carefully, we will meet a further problem. Some words sound like other words, even though they are XXXXly different. An example would be the words “see” and “sea.” These two words sound exactly the same, but they include different letters."
M19,19,gct_m_cloze_v3_morph_placeholder,XXXX,"Her mother said, “I may be a little late tonight, so don’t wait for my return.” “All right.” Suddenly the XXXX broke out on the phone line. Erika could not hear what her mother was saying. As the line went dead, she dropped the phone back on to its holder."
M20,20,gct_m_cloze_v3_morph_placeholder,XXXX,"I wish Anne was wise. Sometimes she is like a child of eight instead of a XXXX of twenty. Joan is younger by five years but is as tall as Anne, so the girls look the same age. Joan seems to be an adult, perhaps because she had a hard time when she was a child."
